assemblydist,borough,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
78,X,207,13,15,Fordham Bedford Lot-Busters,BLT,"MULTIPOLYGON (((-73.89282045275597 40.864193317038506, -73.89285251385311 40.864133835225196, -73.8928842953085 40.864074876327585, -73.89282961694866 40.86405857260831, -73.89257717921458 40.86398330002165, -73.89257172208818 40.863981656949335, -73.89257009073071 40.86398485487195, -73.89253825122441 40.864047294924916, -73.89252165082054 40.86407985019101, -73.89249034594815 40.86413875990609, -73.89245259963639 40.864209805816934, -73.89245254136563 40.864209898513124, -73.89245760731986 40.86421139444652, -73.89275802719749 40.864300123796454, -73.89276221346837 40.86430135955766, -73.89279152408443 40.864246982785836, -73.89282045275597 40.864193317038506)))",,,,,,,,XGT006,52,33,Active,"10,458"
84,X,201,15,8,Bruckner Mott Haven Garden,BLT,"MULTIPOLYGON (((-73.91527803004068 40.80377607453896, -73.9152548442404 40.80377705344853, -73.9152350431582 40.803777889862, -73.91519210414378 40.80378026801611, -73.91514922484811 40.80378320810958, -73.91510642067593 40.80378671015388, -73.91507276900202 40.80378907439108, -73.91503919244904 40.803792003286745, -73.91500570879424 40.803795495053045, -73.9149723334461 40.803799546999876, -73.91493908418086 40.803804158240034, -73.91490597759204 40.80380932608428, -73.91487303027198 40.80381504874408, -73.91484026000268 40.80382132082963, -73.9148076810054 40.80382814145119, -73.91477531224493 40.80383550702082, -73.91474316794816 40.80384341214629, -73.91471126589272 40.803851855039994, -73.9147081578436 40.803852489393286, -73.91470711439459 40.80385295237829, -73.91470537847563 40.80385372192106, -73.91470312106567 40.80385546541789, -73.91470154575417 40.80385759753452, -73.91470106631152 40.80385905058522, -73.91470076294242 40.80385996977025, -73.91470082617289 40.80386241467191, -73.91470173210975 40.803864761142236, -73.91470341697087 40.80386684434269, -73.91470576243584 40.80386851920532, -73.91470860511828 40.803869666743374, -73.9147117436591 40.803870207563854, -73.91471465848636 40.80387146771752, -73.91495182819558 40.803974004461615, -73.91507950590616 40.804028863334594, -73.91527803004068 40.80377607453896)))",,,,,,,,XGT005,40,29,Active,"10,454"
79,X,206,15,15,Garden Of Youth,PRI,"MULTIPOLYGON (((-73.88544919922825 40.84931282913477, -73.88510299344178 40.849104473748916, -73.88509387608548 40.84911499502799, -73.88495158294907 40.84927918589626, -73.88499381877561 40.84930469844315, -73.88516670251339 40.849409131498476, -73.88520472828996 40.84943210128796, -73.88527544666007 40.84947481986642, -73.88544919922825 40.84931282913477)))",,,,,,,,XGT004,48,33,Active,"10,457"
79,X,206,15,15,Clinton Avenue Community Garden,NYRP,"MULTIPOLYGON (((-73.88809390760386 40.846123249289164, -73.88818979434058 40.84601084007555, -73.88790895558114 40.845870711042956, -73.887889754453 40.84586113004729, -73.88782583987486 40.845933144275996, -73.88779140489706 40.84597329708785, -73.88809390760386 40.846123249289164)))",,,,,,,,XGT003,48,33,Active,"10,457"
83,X,212,16,12,Jim Mackey Eastchester Road Community Garden,NYRP,"MULTIPOLYGON (((-73.8488129447423 40.881932422763946, -73.84876162157006 40.88181065368355, -73.84872362789923 40.881819972567065, -73.84822171359131 40.88160750354108, -73.84817929194044 40.8816641838891, -73.84821198030853 40.881678022358926, -73.84827515715737 40.88170476707529, -73.84833939846547 40.88173196159859, -73.84841457074951 40.8817637827422, -73.84848193901908 40.88179230140784, -73.84854117374073 40.88181737670072, -73.84859508645546 40.88184019916483, -73.8486550537844 40.88186558512785, -73.84870908037017 40.88188845451307, -73.8487670920179 40.88191301210652, -73.84877630665527 40.881916912487114, -73.8488129447423 40.881932422763946)))",,,,,,,,XGT002,47,36,Active,"10,466"
86,X,205,15,14,Creston Jungle Playground,NYRP,"MULTIPOLYGON (((-73.90116785460803 40.856639046762126, -73.90143099592954 40.856730135944986, -73.90146737594858 40.856668971440556, -73.90108241793077 40.85653571331347, -73.90104603644461 40.85659687769688, -73.90116785460803 40.856639046762126)))",,,,,,,,XGT023,46,33,Active,"10,453"
86,X,205,15,15,Anthony Avenue Garden,BLT,"MULTIPOLYGON (((-73.90137438281226 40.85285693046623, -73.90169279524584 40.852978700192985, -73.90174467659838 40.85291682657678, -73.90141215724066 40.852793741024975, -73.90140689048762 40.85280255053781, -73.90137438281226 40.85285693046623)))",,,,,,,,XGT001,46,33,Active,"10,457"
85,X,202,15,17,Black Joy Farm,DPR,"MULTIPOLYGON (((-73.89237125748325 40.821927733393835, -73.89237576891898 40.82204142530507, -73.89277212159885 40.82203300300861, -73.89276760948657 40.82191931111272, -73.89237125748325 40.821927733393835)))",,,,,,,,X365-GT001,41,32,Active (Unlicensed),"10,459"
87,X,209,15,18,Havemeyer Garden Association,DPR,"MULTIPOLYGON (((-73.84440885473654 40.81764686270212, -73.84436491829788 40.81744182573856, -73.844182953528 40.817470191503496, -73.84421658507287 40.81761769440205, -73.84384460635151 40.817666710515006, -73.8438023161896 40.81772001134332, -73.8437949787385 40.81772925942342, -73.84387688942897 40.817718265420204, -73.84440885473654 40.81764686270212)))",,,,,,,,X364-GT001,43,34,Active,"10,473"
79,X,201,15,17,Centro Cultural Rincon Criollo,DPR,"MULTIPOLYGON (((-73.91222185987337 40.82045708041725, -73.91198427345945 40.82037383659833, -73.91197080455588 40.82036911761962, -73.91191441617991 40.82046831469053, -73.91184237045876 40.82059505495942, -73.911918008231 40.82061397636596, -73.91215365030483 40.82067292523884, -73.91217375572123 40.82067795451933, -73.91223067629099 40.8205849153261, -73.91219760153172 40.820572947759544, -73.91220054818997 40.82056856908725, -73.91223819526039 40.820513741293574, -73.91226635429729 40.82047267035947, -73.91222185987337 40.82045708041725)))",,,,,,,,X363-GT001,40,32,Active,"10,451"
