Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Status,Cool Streets
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Pearl Street,Jay Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,Active,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Pearl Street,Lawrence Street,Temporary Limited Local Access,2020-05-07T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,inactive,
Willowtown Association,Brooklyn,Willow Place,Joralemon Street,State Street,Temporary Limited Local Access,2020-05-24T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Brooklyn Heights,Brooklyn,Willow Street,Middagh Street,Pierrepont Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,Active,
Good Shepard Services,Brooklyn,Wolcott Street,Conover Street,Van Brunt Street,Temporary Limited Local Access,2020-07-24T00:00:00.000,N/A,N/A,10:00AM,3:00PM,N/A,N/A,10:00AM,3:00PM,N/A,N/A,N/A,N/A,N/A,N/A,"T,R",Active,
Downtown Brooklyn Partnership,Brooklyn,Willoughby Street,Lawrence Street,Flatbush Avenue Extension,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,8:00AM,7:00PM,ALL,inactive,
39th Avenue Open Streets Coalition,Queens,Woodside Avenue,39th Avenue,39th Avenue,Temporary Limited Local Access,2020-05-14T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Central Family Life Center,Staten Island,Wright Street,Canal Street,Thompson Street,Open Streets Play,2020-07-24T00:00:00.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,4:00PM,N/A,N/A,N/A,N/A,F,inactive,Y
Nicholas Naquan Heyward Park,Brooklyn,Wyckoff Street,Bond Street,Hoyt Street,Temporary Limited Local Access,2020-05-23T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
Boerum Hill,Brooklyn,Wyckoff Street,Nevins Street,3rd Avenue,Temporary Limited Local Access,2020-06-25T00:00:00.000,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,inactive,
